total_loss	policy_loss	value_loss	entropy_loss	kl_divergence	
-0.235829	-0.310035	0.986508	0.882460	0.920234	
2.629177	1.450357	0.989578	0.831332	0.781739	
0.780010	0.778546	0.778885	0.799487	0.877745	
0.913522	0.833568	0.768831	0.702227	0.701127	
0.744278	0.726694	0.696189	0.678515	0.676520	
0.682298	0.659737	0.641000	0.001386	0.001377	
0.000925	0.000287	0.000427	0.000827	0.001242	
0.001327	0.001322	0.001311	0.001293	0.001271	
0.001244	0.001215	0.001197	0.001156	0.001124	
0.001120	0.001108	0.001098	0.001076	0.001068	
0.001063	0.001051	0.001077	0.001111	598.158386	
28296.732422	25297.205078	537.465454	3509.261230	12161.125977	
2907.998291	442.619965	448.556946	1489.634644	3557.531494	
7307.117188	5467.854492	2007.730713	3042.562744	744.539734	
1300.112061	2086.010742	1650.286743	2653.451172	5192.014648	
5912.724121	7446.002930	9721.113281	11498.078125	7739.285645	
0.039054	-0.079551	-0.230995	0.303989	0.347686	
0.003509	-0.198933	-0.286504	-0.284972	-0.277763	
-0.249921	-0.188680	-0.064179	0.026743	0.015933	
0.010935	-0.107121	-0.247296	-0.337043	-0.342175	
-0.284228	-0.236784	-0.199363	-0.187349	-0.236905	
-0.311146	-0.393529	0.040440	-0.078175	-0.230070	
0.304276	0.348113	0.004336	-0.197691	-0.285176	
-0.283649	-0.276452	-0.248628	-0.187409	-0.062935	
0.027959	0.017130	0.012091	-0.105996	-0.246176	
-0.335935	-0.341077	-0.283152	-0.235716	-0.198300	
-0.186297	-0.235829	-0.310035	-0.392365	0.986508	
0.882460	0.920234	2.629177	1.450357	0.989578	
0.831332	0.781739	0.780010	0.778546	0.778885	
0.799487	0.877745	0.913522	0.833568	0.768831	
0.702227	0.701127	0.744278	0.726694	0.696189	
0.678515	0.676520	0.682298	0.659737	0.641000	
0.651685	0.001386	0.001377	0.000925	0.000287	
0.000427	0.000827	0.001242	0.001327	0.001322	
0.001311	0.001293	0.001271	0.001244	0.001215	
0.001197	0.001156	0.001124	0.001120	0.001108	
0.001098	0.001076	0.001068	0.001063	0.001051	
0.001077	0.001111	0.001164	598.158386	28296.732422	
25297.205078	537.465454	3509.261230	12161.125977	2907.998291	
442.619965	448.556946	1489.634644	3557.531494	7307.117188	
5467.854492	2007.730713	3042.562744	744.539734	1300.112061	
2086.010742	1650.286743	2653.451172	5192.014648	5912.724121	
7446.002930	9721.113281	11498.078125	7739.285645	2058.125977	
0.039054	-0.079551	-0.230995	0.303989	0.347686	
0.003509	-0.198933	-0.286504	-0.284972	-0.277763	
-0.249921	-0.188680	-0.064179	0.026743	0.015933	
0.010935	-0.107121	-0.247296	-0.337043	-0.342175	
-0.284228	-0.236784	-0.199363	-0.187349	-0.236905	
-0.311146	-0.393529	-0.398862	0.040440	-0.078175	
-0.230070	0.304276	0.348113	0.004336	-0.197691	
-0.285176	-0.283649	-0.276452	-0.248628	-0.187409	
